영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
로렐,Laurel,2015,미국,장편,"드라마,멜로/로맨스",개봉,피터 솔레트,
덮어놓고 파당 보민,,2021,한국,장편,다큐멘터리,,,
달라스 바이어스 클럽,Dallas Buyers Club,2013,미국,장편,드라마,개봉,장 마크 발레,
밀크,Milk,2008,미국,장편,드라마,개봉,구스 반 산트,포커스피쳐스
스톤월,Stonewall,2015,미국,장편,드라마,기타,롤랜드 에머리히,
캐롤,Carol,2015,"미국,영국",장편,드라마,개봉,토드 헤인즈,
얼레벌레 곤충소비생활,Fudge Consumption Bug Life,2021,한국,단편,다큐멘터리,기타,,
메이드 인 루프탑,Made On The Rooftop,2020,한국,장편,"드라마,멜로/로맨스,코미디",개봉,김조광수,(주)레인보우팩토리
시인의 사랑,The Poet and The Boy,2017,한국,장편,드라마,개봉,김양희,"(주)영화사진,(주)미인픽쳐스"
로드무비,Road Movie,2002,한국,장편,드라마,개봉,김인식,(주)싸이더스
정직한 후보2,Honest Candidate 2,2022,한국,장편,코미디,개봉,장유정,"(주)수필름,(주)홍필름"
조금만 더 가까이,"Come, Closer",2010,한국,장편,"멜로/로맨스,드라마",개봉,김종관,"㈜인디스토리,조금만 더 가까이 제작위원회"
홈그라운드,Home Ground,2022,한국,장편,다큐멘터리,기타,권아람,
무브@8PM,MOVE@8PM,2022,한국,장편,다큐멘터리,기타,,
공작새,Peafow,2022,한국,장편,드라마,기타,변성빈,
보희와 녹양,A Boy and Sungreen,2018,한국,장편,드라마,개봉,안주영,한국영화아카데미
환절기,In Between Seasons,2018,한국,장편,드라마,개봉,이동은,명필름랩
얼굴 없는 것들,Faceless Things,2005,한국,장편,드라마,기타,김경묵,김경묵
번지점프를 하다,Bungee Jumping Of Their Own,2001,한국,장편,"드라마,판타지",개봉,김대승,눈엔터테인먼트(주)
퀴어 마이 프렌즈,Queer My Friends,2022,한국,장편,"다큐멘터리,드라마,가족",기타,서아현,시소픽쳐스
버텨내고 존재하기,Withstanding and Existing,2022,한국,장편,다큐멘터리,기타,,
스타게이저: 아스트로스코프,STARGAZER: ASTROSCOPE,2022,한국,장편,"공연,다큐멘터리",개봉예정,도하,(주)위즈온센
에브리씽 에브리웨어 올 앳 원스,Everything Everywhere All At Once,2022,미국,장편,"액션,코미디",개봉,"다니엘 콴,다니엘 쉐이너트",
티켓 투 파라다이스,Ticket to Paradise,2022,미국,장편,"멜로/로맨스,코미디",개봉,올 파커,
오펀: 천사의 탄생,Orphan: First Kill,2022,미국,장편,"공포(호러),스릴러",개봉,윌리엄 브렌트 벨,
"바르도, 약간의 진실을 섞은 거짓된 연대기",Bardo,2022,멕시코,장편,"가족,코미디,전쟁",기타,알레한드로 곤잘레스 이냐리투,
화이트 노이즈,White Noise,2022,미국,장편,"코미디,드라마,공포(호러),미스터리",기타,노아 바움백,
리틀 드러머 걸: 감독판,The Little Drummer Girl: Director’s Cut,2018,"영국,미국",장편,드라마,기타,박찬욱,
땅에 닿지 않는 비,Virga,2022,한국,장편,다큐멘터리,기타,"원호연,정태경",
카케구루이,Kakegurui,2019,일본,장편,드라마,기타,하나부사 츠토무,
미드나잇 스완,Midnight Swan,2020,일본,장편,드라마,기타,우치다 에이지,
폭낭의 아이들,,2022,한국,장편,다큐멘터리,기타,사유진,유진필름
야쿠자 프린세스,Yakuza Princess,2021,브라질,장편,스릴러,기타,비센테 아모림,
웜우드 : 좀비 아포칼립스,Wyrmwood: Apocalypse,2021,호주,장편,"액션,공포(호러)",기타,,
지옥만세,Hail to Hell,2022,한국,장편,어드벤처,기타,,
헬 카운트,The Cellar,2022,미국,장편,공포(호러),기타,브렌든 멀다우니,
더 스페셜스,The Specials,2019,프랑스,장편,"코미디,드라마",기타,"올리비에르 나카체,에릭 토레다노",
돌아와요 부산항애(愛),BROTHERS IN HEAVEN,2017,한국,장편,"범죄,액션,드라마",개봉,박희준,(주)블랙홀엔터테인먼트
된다! 뭐든! 무서울 뻔~한 이야기,,2021,한국,장편,애니메이션,기타,김대창,
웰컴투 정글스쿨 스폐셜,,2021,한국,장편,애니메이션,기타,,
튤립 모양,,2020,한국,장편,드라마,기타,,(주)삼거리픽쳐스
