순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
92,번 더 스테이지: 더 무비,박준수,"빅히트 엔터테인먼트,(주)캠프엔터테인먼트",,월트디즈니컴퍼니코리아 유한책임회사,2018-11-15,개봉영화,장편,한국,243,"2,671,391,900","315,010","776,472,800","87,249",기타,전체관람가,일반영화
93,덕구,방수인,"(주)영화사두둥,(주)빅오션이엔엠",,메가박스중앙(주)플러스엠,2018-04-05,개봉영화,장편,한국,544,"2,320,819,700","306,126","399,790,500","50,850",드라마,전체관람가,일반영화
94,미성년,김윤석,"(주)영화사레드피터,(주)스튜디오 산타클로스엔터테인먼트",,(주)쇼박스,2019-04-11,개봉영화,장편,한국,673,"2,493,769,950","293,258","856,799,740","98,387",드라마,15세이상관람가,일반영화
95,배심원들,홍승완,반짝반짝영화사(주),,CGV아트하우스,2019-05-15,개봉영화,장편,한국,784,"2,303,130,090","288,113","724,211,930","86,835",드라마,12세이상관람가,일반영화
96,기방도령,남대중,"주식회사 브레인샤워,(주)제이와이피픽쳐스",,판씨네마(주),2019-07-10,개봉영화,장편,한국,625,"2,327,760,190","286,806","546,588,070","65,509",코미디,15세이상관람가,일반영화
97,악질경찰,이정범,"청년필름(주),다이스필름(주)",,워너브러더스 코리아(주),2019-03-20,개봉영화,장편,한국,833,"2,256,615,278","262,233","543,947,088","61,930",범죄,청소년관람불가,일반영화
98,기묘한 가족,이민재,"씨네주 유한회사,오스카10스튜디오",,메가박스중앙(주)플러스엠,2019-02-13,개봉영화,장편,한국,625,"2,062,904,275","256,202","465,060,345","56,391",코미디,12세이상관람가,일반영화
99,치즈인더트랩,김제영,(주)마운틴무브먼트스토리,,(주)리틀빅픽쳐스,2018-03-14,개봉영화,장편,한국,364,"1,890,873,700","229,005","557,695,800","65,340",멜로/로맨스,15세이상관람가,일반영화
100,1급기밀,홍기선,"(주)미인픽쳐스,(주)미디어모굴",,(주)리틀빅픽쳐스,2018-01-24,개봉영화,장편,한국,512,"1,720,083,300","217,803","406,282,500","50,330",드라마,12세이상관람가,일반영화
101,속닥속닥,최상훈,"(주)파이브데이,꿀잼컴퍼니(주)",,(주)그노스,2018-07-13,개봉영화,장편,한국,314,"1,900,914,300","217,444","342,387,100","36,960",공포(호러),15세이상관람가,일반영화
102,비스트,이정호,(주)스튜디오앤뉴,,(주)넥스트엔터테인먼트월드(NEW),2019-06-26,개봉영화,장편,한국,737,"1,596,148,590","202,007","393,815,760","47,676",범죄,15세이상관람가,일반영화
103,어린 의뢰인,장규성,이스트드림시노펙스(주),,롯데컬처웍스(주)롯데엔터테인먼트,2019-05-22,개봉영화,장편,한국,671,"1,631,919,600","198,211","384,717,140","45,008",드라마,12세이상관람가,일반영화
104,언니,임경택,"필름에이픽쳐스,(유)조이앤시네마",,"(주)제이앤씨미디어그룹,TCO(주)더콘텐츠온",2019-01-01,개봉영화,장편,한국,530,"1,746,373,250","197,134","360,066,100","40,427",액션,청소년관람불가,일반영화
105,언더독,"오성윤,이춘백",(주)오돌또기,,(주)넥스트엔터테인먼트월드(NEW),2019-01-16,개봉영화,장편,한국,612,"1,485,934,830","193,484","420,191,450","50,913",애니메이션,전체관람가,일반영화
106,런닝맨 : 풀룰루의 역습,윤준상,(주)로커스,,(주)넥스트엔터테인먼트월드(NEW),2018-12-05,개봉영화,장편,한국,511,"1,414,494,750","186,324","233,597,650","28,810",애니메이션,전체관람가,일반영화
107,우상,이수진,"리 공동체 영화사,(주)바른손",,CGV아트하우스,2019-03-20,개봉영화,장편,한국,900,"1,581,839,728","183,784","534,386,118","59,765",스릴러,15세이상관람가,일반영화
108,두번할까요,박용집,"(주)영화사울림,(주)영화사바른",,(주)리틀빅픽쳐스,2019-10-17,개봉영화,장편,한국,658,"1,449,660,120","174,938","369,483,800","43,186",코미디,15세이상관람가,일반영화
